VERSION: WAVEFORM
0.06696
6697
42
0,0,0
-0.00261504910033933,-0.00356684486766523,-0.00966623654115248
-0.00523009820067867,-0.00713368973533047,-0.019332473082305
-0.007845147301018,-0.0107005346029957,-0.0289987096234574
-0.0104601964013573,-0.0142673794706609,-0.0386649461646099
-0.0130752455016967,-0.0178342243383262,-0.0483311827057624
-0.015690294602036,-0.0214010692059914,-0.0579974192469149
-0.0183053437023753,-0.0249679140736566,-0.0676636557880674
-0.0209203928027147,-0.0285347589413219,-0.0773298923292198
-0.023535441903054,-0.0321016038089871,-0.0869961288703723
-0.0261504910033933,-0.0356684486766523,-0.0966623654115248
-0.0287655401037327,-0.0392352935443176,-0.106328601952677
-0.031380589204072,-0.0428021384119828,-0.11599483849383
-0.0339956383044113,-0.046368983279648,-0.125661075034982
-0.0366106874047507,-0.0499358281473133,-0.135327311576135
-0.03922573650509,-0.0535026730149785,-0.144993548117287
-0.0418407856054293,-0.0570695178826437,-0.15465978465844
-0.0444558347057686,-0.060636362750309,-0.164326021199592
-0.047070883806108,-0.0642032076179742,-0.173992257740745
-0.0496859329064473,-0.0677700524856394,-0.183658494281897
-0.0523009820067866,-0.0713368973533047,-0.19332473082305
-0.054916031107126,-0.0749037422209699,-0.202990967364202
-0.0575310802074653,-0.0784705870886351,-0.212657203905355
-0.0601461293078047,-0.0820374319563004,-0.222323440446507
-0.062761178408144,-0.0856042768239656,-0.231989676987659
-0.0653762275084833,-0.0891711216916308,-0.241655913528812
-0.0679912766088227,-0.0927379665592961,-0.251322150069964
-0.070606325709162,-0.0963048114269613,-0.260988386611117
-0.0732213748095013,-0.0998716562946265,-0.270654623152269
-0.0758364239098407,-0.103438501162292,-0.280320859693422
-0.07845147301018,-0.107005346029957,-0.289987096234574
-0.0810665221105193,-0.110572190897622,-0.299653332775727
-0.0836815712108587,-0.114139035765287,-0.309319569316879
-0.086296620311198,-0.117705880632953,-0.318985805858032
-0.0889116694115373,-0.121272725500618,-0.328652042399184
-0.0915267185118766,-0.124839570368283,-0.338318278940337
-0.094141767612216,-0.128406415235948,-0.347984515481489
